location,"No. of Vaccine Types"
Afghanistan,4
Albania,4
Algeria,4
Andorra,3
Angola,1
Anguilla,2
"Antigua and Barbuda",3
Argentina,6
Armenia,5
Aruba,1
Australia,3
Austria,4
Azerbaijan,4
Bahamas,3
Bahrain,4
Bangladesh,4
Barbados,3
Belarus,2
Belgium,4
Belize,4
Benin,4
Bermuda,2
Bhutan,4
Bolivia,5
"Bonaire Sint Eustatius and Saba",2
"Bosnia and Herzegovina",4
Botswana,6
Brazil,4
"British Virgin Islands",2
Brunei,5
Bulgaria,4
"Burkina Faso",3
Burundi,1
Cambodia,4
Cameroon,4
Canada,3
"Cabo Verde",4
"Cayman Islands",2
"Central African Republic",2
Chad,1
Chile,4
China,5
Colombia,5
Comoros,3
Congo,4
"Cook Islands",1
"Costa Rica",2
"Cote d’Ivoire",5
Croatia,4
Cuba,2
Curacao,2
Cyprus,4
Czechia,4
"Democratic Republic of Congo",1
Denmark,3
Djibouti,6
Dominica,3
"Dominican Republic",4
Ecuador,4
Egypt,6
"El Salvador",4
England,3
"Equatorial Guinea",1
Estonia,4
Eswatini,3
Ethiopia,1
"Faeroe Islands",2
"Falkland Islands",1
Fiji,1
Finland,3
France,4
"French Polynesia",2
Gabon,3
Gambia,3
Georgia,4
Germany,4
Ghana,2
Gibraltar,1
Greece,4
Greenland,1
Grenada,3
Guatemala,2
Guernsey,3
Guinea,1
Guinea-Bissau,2
Guyana,2
Haiti,2
Honduras,5
"Hong Kong",2
Hungary,6
Iceland,4
India,3
Indonesia,7
Iran,6
Iraq,4
Ireland,4
"Isle of Man",3
Israel,2
Italy,4
Jamaica,4
Japan,3
Jersey,3
Jordan,4
Kazakhstan,3
Kenya,2
Kiribati,1
Kosovo,2
Kuwait,5
Kyrgyzstan,2
Laos,7
Latvia,3
Lebanon,4
Lesotho,3
Liberia,1
Libya,7
Liechtenstein,2
Lithuania,4
Luxembourg,4
Macao,2
Madagascar,3
Malawi,2
Malaysia,5
Maldives,3
Mali,1
Malta,4
Mauritania,2
Mauritius,3
Mexico,7
Moldova,5
Monaco,1
Mongolia,4
Montenegro,4
Montserrat,1
Morocco,5
Mozambique,3
Myanmar,2
Namibia,4
Nauru,1
Nepal,7
Netherlands,4
"New Caledonia",1
"New Zealand",2
Nicaragua,7
Niger,2
Nigeria,1
Niue,1
"North Macedonia",5
"Northern Cyprus",3
"Northern Ireland",3
Norway,2
Oman,4
Pakistan,8
Palestine,8
Panama,2
"Papua New Guinea",1
Paraguay,7
Peru,3
Philippines,8
Pitcairn,1
Poland,4
Portugal,4
Qatar,2
Romania,4
Russia,2
Rwanda,7
"Saint Helena",1
"Saint Kitts and Nevis",2
"Saint Lucia",2
"Saint Vincent and the Grenadines",1
Samoa,1
"San Marino",2
"Sao Tome and Principe",1
"Saudi Arabia",2
Scotland,3
Senegal,3
Serbia,4
Seychelles,3
"Sierra Leone",2
Singapore,4
"Sint Maarten",3
Slovakia,5
Slovenia,4
"Solomon Islands",1
Somalia,4
"South Africa",2
"South Korea",4
"South Sudan",2
Spain,4
"Sri Lanka",5
Sudan,5
Suriname,3
Sweden,3
Switzerland,2
Syria,6
Taiwan,4
Tajikistan,5
Tanzania,3
Thailand,4
Timor-Leste,3
Togo,1
Tokelau,1
Tonga,1
"Trinidad and Tobago",4
Tunisia,7
Turkey,2
Turkmenistan,4
"Turks and Caicos Islands",1
Tuvalu,1
Uganda,5
Ukraine,5
"United Arab Emirates",5
"United Kingdom",3
"United States",3
Uruguay,3
Uzbekistan,4
Vanuatu,1
Venezuela,4
Vietnam,6
Wales,3
"Wallis and Futuna",1
Yemen,3
Zambia,3
Zimbabwe,4
