countries,InfectionRate,CaseFatalityRate,RecoveryRate,PositiveRate
Yemen,0.03374279913686912,19.160180647641013,67.75247429614683,3.923424051754363
Vanuatu,0.0021995563180684124,14.285714285714285,85.71428571428571,0.03043478260869565
"Western Sahara",0.0016127653603804836,10,80,NULL
Peru,8.08472392944577,7.482099879331631,0,11.511447591062554
Mexico,3.430742373434236,6.720604363214106,78.99973527965814,33.55051971731438
Sudan,0.11683179723071223,6.386586284853052,75.97776940467219,9.429052067623427
Syria,0.27987943282408984,5.816493181952342,69.33747860136558,34.74488784363057
Egypt,0.38357968288018046,5.504591697814303,83.5731082452536,10.938257692777348
Somalia,0.14633760600217616,5.502658587857055,54.33411648324471,6.058192206079917
Ecuador,3.4860795110793243,5.437906171019543,0,27.31873601801845
Taiwan,0.07553734050948535,4.717033423867856,89.67352142342442,0.18159227466342368
Afghanistan,0.3954449472433501,4.636447524528728,91.7019767361569,18.951038718634123
China,0.007323647518207884,4.398022976729184,92.47421995806889,0.06588187499999999
"Bosnia and Herzegovina",9.972482465689257,4.29348262176492,59.32178281989717,20.57556149630749
Liberia,0.13585683768551537,4.0303328184243785,80.70495716893694,5.092830987527177
Bulgaria,12.405639338666841,3.8067011368104744,75.14722194507861,10.555508336292453
Myanmar,0.9706353537489135,3.6180388452860175,95.88196490281182,8.558809051289755
Niger,0.03314493302704786,3.4702549575070822,88.24362606232295,3.975262530616842
Indonesia,1.5379482384724943,3.372495747893593,96.37499742721835,6.26899067990252
Paraguay,7.1070739707775585,3.2691581728954326,88.17570249053827,23.400265008663744
"North Macedonia",11.986323233845724,3.265065837952135,89.32696312433922,14.48537708075309
Tunisia,6.803030181920157,3.1676113241401085,87.03532582421415,21.758719122589813
"Trinidad and Tobago",7.318977211647569,3.14546055060131,79.26988012667327,18.95106581565872
"El Salvador",1.8904538178364776,3.1073743495957986,94.46903550013353,7.935555916589234
Romania,10.215509820076356,3.0533452344471432,92.22341736095544,10.684569321293438
Mauritius,1.963472432564702,3.043738765727981,96.17735170760935,6.979856415975465
Gambia,0.45890805896802,2.9986173522295196,87.76356723124785,8.533419857235561
Malawi,0.41830408478696424,2.993306816952859,79.35928093344067,16.089142888076452
Russia,7.463744732545571,2.9669126157367587,91.06781091198415,4.402023828756058
Hungary,14.398772524128207,2.9416817033561893,85.62389029231325,14.413293144640388
Algeria,0.5078445610253047,2.814544946225286,68.23535064957757,99.15836802231645
Haiti,0.24126908052809612,2.7827327863003926,86.20763467713164,21.167177659301327
Honduras,3.810995677752526,2.7058403748099575,32.844739318847026,32.925716309448404
Chad,0.04014675513137555,2.686220415275156,70.77101785973574,3.5993331277666574
